Date,Region,Category,Product,Sales,Profit,Orders,Segment,Customer_Type
2024-04-08,Europe,Furniture,Sit-Stand Desk,24000,6700,128,Consumer,New
2024-06-28,Asia Pacific,Software,DevOps Platform,54000,21900,315,Enterprise,Recurring
2024-08-28,North America,Electronics,Laptop,57000,15900,335,Enterprise,Recurring
2024-10-28,Europe,Furniture,Ergonomic Chair,24000,6700,140,Consumer,New
2024-12-18,Asia Pacific,Electronics,Workstation,69000,19800,112,Enterprise,Recurring
2025-02-08,North America,Furniture,Conference Table,35000,9400,78,Enterprise,New
2025-04-08,Europe,Electronics,Server Blade,83000,24800,102,Enterprise,Recurring
2025-06-08,Asia Pacific,Furniture,Desk Chair,21000,5800,118,SMB,New
2025-08-08,North America,Software,AI Platform,86000,36000,435,Enterprise,Recurring
2025-10-08,Europe,Furniture,Standing Desk,28000,7800,142,SMB,New
2025-12-18,Asia Pacific,Electronics,Printer,23000,6200,168,Consumer,New
2023-03-28,North America,Electronics,Server Blade,78000,23200,92,Enterprise,Recurring
2023-07-08,Europe,Furniture,Conference Table,33000,8800,76,Enterprise,New
2023-11-08,Asia Pacific,Electronics,UPS System,27000,7600,120,SMB,New
2024-03-08,North America,Furniture,Office Pod,43000,12100,68,Enterprise,New
2024-07-08,Europe,Electronics,Monitor,35000,10100,210,Consumer,New
2024-11-08,Asia Pacific,Furniture,Standing Desk,27000,7500,142,SMB,New
2025-03-18,North America,Electronics,Tablet,32000,8700,228,Consumer,New
2025-07-18,Europe,Software,Cloud Storage,58000,23600,335,SMB,Recurring
2025-11-18,Asia Pacific,Software,Collaboration,69000,28000,375,Enterprise,Recurring
